8,11,2,4,25,2
43,45,11,14,113,4
89,94,18,26,227,5
137,152,30,38,357,7
202,202,46,51,501,8
257,262,63,66,648,10
316,327,85,84,812,11
398,395,104,106,1003,12
476,479,126,131,1212,13
566,569,150,157,1442,14
672,647,174,187,1680,15
772,731,194,216,1913,15
850,836,217,245,2148,16
947,928,241,269,2385,17
1033,1022,264,298,2617,18
1126,1123,286,324,2859,18
1214,1224,310,343,3091,19
1296,1323,336,368,3323,20
1388,1427,358,391,3564,20
1488,1516,395,414,3813,21
1593,1609,425,436,4063,21
1702,1694,449,462,4307,22
1810,1783,485,484,4562,22
1900,1889,515,517,4821,22
2017,1988,541,536,5082,23
2121,2080,561,565,5327,23
2225,2178,590,591,5584,23
2336,2285,610,619,5850,23
2443,2385,632,644,6104,23
2543,2490,650,677,6360,24
2641,2600,680,698,6619,24
2748,2695,717,717,6877,24
2845,2817,743,741,7146,24
2950,2929,768,769,7416,24
3044,3050,790,796,7680,24
3153,3147,813,822,7935,24
3270,3254,832,850,8206,24
3394,3361,852,867,8474,24
3496,3475,870,883,8724,24
