6,5,0,1,12,2
42,57,15,11,125,4
85,99,29,21,234,6
124,146,40,31,341,8
173,187,49,40,449,9
208,236,58,54,556,11
255,273,70,66,664,12
303,314,79,76,772,13
341,354,99,85,879,15
383,396,114,94,987,16
427,436,128,103,1094,17
477,475,142,108,1202,18
519,521,152,117,1309,19
555,565,165,131,1416,19
600,605,177,140,1522,20
643,650,186,149,1628,21
691,688,193,162,1734,22
739,733,201,167,1840,22
780,781,214,173,1948,23
830,824,222,181,2057,23
874,866,232,194,2166,24
914,915,241,203,2273,24
958,953,261,210,2382,25
997,1004,269,220,2490,25
1051,1043,276,229,2599,25
1095,1084,285,244,2708,26
1144,1121,298,254,2817,26
1184,1161,312,267,2924,26
1229,1202,320,281,3032,27
1272,1242,331,294,3139,27
1319,1293,335,300,3247,27
1364,1332,343,315,3354,27
1407,1372,356,327,3462,27
1452,1411,368,338,3569,28
1488,1456,382,350,3676,28
1525,1504,397,358,3784,28
1566,1554,408,363,3891,28
1614,1592,416,377,3999,28
1650,1636,432,389,4107,28
1685,1676,449,404,4214,28
1717,1721,459,423,4320,28
1756,1767,470,433,4426,28
1798,1810,482,442,4532,29
1838,1857,495,448,4638,29
1882,1895,507,462,4746,29
1935,1932,515,470,4852,29
1976,1975,526,481,4958,29
2010,2022,540,492,5064,29
2060,2057,553,500,5170,29
2098,2103,562,513,5276,29
2139,2141,574,528,5382,29
2184,2187,581,536,5488,29
2223,2231,593,547,5594,29
2262,2275,606,557,5700,29
2300,2315,619,572,5806,29
2340,2361,630,581,5912,29
2375,2411,645,587,6018,29
2410,2453,655,607,6125,29
2457,2497,659,619,6232,29
2498,2536,671,634,6339,29
2544,2579,681,642,6446,29
2585,2622,696,650,6553,29
2629,2668,706,657,6660,29
2667,2716,719,666,6768,29
2710,2759,732,674,6875,29
2754,2804,744,680,6982,29
2796,2847,755,692,7090,29
2840,2887,769,701,7197,29
2878,2937,778,710,7303,29
2919,2981,786,725,7411,29
2961,3028,795,734,7518,29
3003,3068,809,745,7625,28
3047,3109,820,756,7732,28
3090,3149,833,768,7840,28
3128,3192,845,782,7947,28
3170,3237,850,797,8054,28
3209,3282,860,810,8161,28
3253,3327,869,820,8269,28
3298,3365,881,832,8376,28
3346,3405,890,842,8483,28
3385,3452,902,851,8590,28
3430,3494,911,863,8698,28
3467,3541,924,873,8805,28
3514,3581,931,887,8913,28
3548,3627,944,901,9020,28
3585,3672,955,915,9127,28
3635,3708,965,927,9235,28
3677,3750,974,940,9341,28
3715,3801,984,949,9449,27
3759,3842,995,960,9556,27
