10,9,3,3,25,2
68,60,13,17,158,4
106,123,33,29,291,5
152,179,48,45,424,7
213,225,61,58,557,9
272,278,71,68,689,10
328,334,75,85,822,11
384,389,86,96,955,12
434,443,101,109,1087,13
487,499,113,121,1220,14
540,550,128,135,1353,15
588,602,146,149,1485,16
639,654,163,162,1618,16
701,700,176,174,1751,17
749,758,191,185,1883,18
805,814,202,195,2016,18
855,864,217,213,2149,19
901,929,226,226,2282,19
962,971,240,241,2414,20
1014,1020,252,261,2547,20
1075,1068,263,273,2679,21
1142,1111,278,281,2812,21
1194,1164,289,298,2945,21
1254,1217,294,312,3077,22
1307,1277,303,323,3210,22
1352,1334,318,338,3342,22
1405,1393,329,348,3475,22
1449,1444,351,363,3607,23
1496,1503,364,377,3740,23
1545,1551,378,398,3872,23
1591,1607,394,413,4005,23
1650,1655,407,425,4137,23
1699,1714,418,439,4270,24
1757,1759,434,452,4402,24
1808,1809,451,467,4535,24
1872,1849,468,478,4667,24
1919,1913,479,488,4799,24
1966,1959,500,507,4932,24
2022,2011,509,522,5064,24
2068,2065,527,536,5196,24
2126,2114,542,547,5329,25
2189,2154,557,561,5461,25
2240,2209,571,573,5593,25
2283,2264,585,593,5725,25
2336,2313,601,607,5857,25
2390,2367,611,622,5990,25
2438,2423,625,636,6122,25
2488,2479,639,649,6255,25
2543,2522,654,668,6387,25
2593,2578,667,682,6520,25
2649,2628,679,696,6652,25
2692,2690,694,708,6784,25
2747,2740,707,723,6917,25
2791,2803,718,737,7049,25
2846,2859,729,747,7181,25
2897,2906,753,757,7313,25
2948,2961,768,768,7445,25
3009,3014,780,775,7578,25
3056,3071,794,789,7710,25
3106,3124,800,812,7842,25
3161,3176,811,826,7974,25
3218,3230,822,836,8106,25
3274,3283,834,847,8238,25
3326,3323,856,866,8371,25
3388,3374,868,873,8503,25
3439,3432,879,885,8635,25
3492,3487,889,899,8767,25
3543,3542,908,907,8900,25
3593,3594,920,924,9031,25
3646,3654,934,930,9164,25
3706,3705,944,941,9296,25
3761,3759,954,954,9428,24
3822,3810,966,962,9560,24
3888,3850,977,977,9692,24
3950,3899,989,986,9824,24
4005,3953,998,1000,9956,24
4049,4009,1011,1019,10088,24
4102,4065,1020,1033,10220,24
4157,4110,1035,1050,10352,24
4209,4166,1049,1060,10484,24
4262,4217,1062,1075,10616,24
4316,4275,1072,1085,10748,24
4370,4319,1086,1105,10880,24
4429,4371,1096,1116,11012,24
4478,4422,1115,1129,11144,24
4530,4475,1125,1146,11276,24
4590,4520,1144,1154,11408,24
4638,4576,1159,1167,11540,24
4693,4628,1172,1179,11672,23
